2021-01-01,0,0
2021-01-02,0,0
2021-01-03,0,0
2021-01-04,0,0
2021-01-05,0,0
2021-01-06,0,0
2021-01-07,0,0
2021-01-08,0,0
2021-01-09,0,0
2021-01-10,0,0
2021-01-11,0,0
2021-01-12,0,0
2021-01-13,0,0
2021-01-14,0,0
2021-01-15,0,0
2021-01-16,0,0
2021-01-17,0,0
2021-01-18,0,0
2021-01-19,0,0
2021-01-20,0,0
2021-01-21,0,0
2021-01-22,0,0
2021-01-23,0,0
2021-01-24,0,0
2021-01-25,0,0
2021-01-26,0,0
2021-01-27,0,0
2021-01-28,0,0
2021-01-29,0,0
2021-01-30,0,0
2021-01-31,0,0
2021-02-01,0,0
2021-02-02,0,0
2021-02-03,0,0
2021-02-04,0,0
2021-02-05,0,0
2021-02-06,0,0
2021-02-07,0,0
2021-02-08,0,0
2021-02-09,0,0
2021-02-10,0,0
2021-02-11,0,0
2021-02-12,0,0
2021-02-13,0,0
2021-02-14,0,0
2021-02-15,0,0
2021-02-16,0,0
2021-02-17,0,0
2021-02-18,0,0
2021-02-19,0,0
2021-02-20,0,0
2021-02-21,0,0
2021-02-22,0,0
2021-02-23,0,0
2021-02-24,0,0
2021-02-25,0,0
2021-02-26,0,0
2021-02-27,0,0
2021-02-28,0,0
2021-03-01,756,0
2021-03-02,2793,0
2021-03-03,0,0
2021-03-04,10000,0
2021-03-05,0,0
2021-03-06,25138,0
2021-03-07,29266,0
2021-03-08,44000,0
2021-03-09,89077,0
2021-03-10,114500,0
2021-03-11,0,0
2021-03-12,0,0
2021-03-13,193492,0
2021-03-14,0,0
2021-03-15,215997,0
2021-03-16,216794,0
2021-03-17,269583,0
2021-03-18,0,0
2021-03-19,0,0
2021-03-20,336656,0
2021-03-21,0,0
2021-03-22,0,0
2021-03-23,508332,0
2021-03-24,0,0
2021-03-25,0,0
2021-03-26,0,0
2021-03-27,656331,0
2021-03-28,0,0
2021-03-29,0,0
2021-03-30,737569,1344
2021-03-31,0,0
2021-04-01,0,0
2021-04-02,0,0
2021-04-03,795320,0
2021-04-04,0,0
2021-04-05,826607,28850
2021-04-06,872213,50685
2021-04-07,0,0
2021-04-08,0,0
2021-04-09,0,0
2021-04-10,0,0
2021-04-11,1007356,132288
2021-04-12,1053256,149041
2021-04-13,1093651,162065
2021-04-14,0,0
2021-04-15,0,0
2021-04-16,0,0
2021-04-17,1264811,191982
2021-04-18,0,0
2021-04-19,1279223,198534
2021-04-20,1353107,209456
2021-04-21,1397628,214792
2021-04-22,0,0
2021-04-23,0,0
2021-04-24,1522696,230769
2021-04-25,0,0
2021-04-26,1529948,237992
2021-04-27,1562815,246986
2021-04-28,0,0
2021-04-29,1614420,266555
2021-04-30,1639806,280045
2021-05-01,1656643,284553
2021-05-02,0,0
2021-05-03,1689829,309385
2021-05-04,0,0
2021-05-05,1786480,342705
2021-05-06,0,0
2021-05-07,1892934,421443
2021-05-08,1951698,443796
2021-05-09,1957511,451270
2021-05-10,0,0
2021-05-11,2024953,517113
2021-05-12,0,0
2021-05-13,0,0
2021-05-14,2154233,636054
2021-05-15,2245397,675799
2021-05-16,0,0
2021-05-17,0,0
2021-05-18,2512942,786528
2021-05-19,0,0
2021-05-20,0,0
